company_id,company_name,industry,size_range,hq_location
1028,University of Maryland Baltimore County,Higher Education,501-1000,"Baltimore, MD, US"
1029,OUTFRONT Media,Advertising Services,501-1000,"New York, New York, US"
1030,STERIS,Medical Equipment Manufacturing,1000+,"Mentor, OH, US"
1031,"TRC Companies, Inc.",Environmental Services,501-1000,"Windsor, CT, US"
1032,BorgWarner,Motor Vehicle Manufacturing,1000+,"Auburn Hills, Michigan, US"
1033,Proskauer Rose LLP,Law Practice,501-1000,"New York, New York, US"
1034,International Rescue Committee,Non-profit Organizations,1000+,"New York, NY, US"
1035,"Land O'Lakes, Inc.",Food and Beverage Manufacturing,501-1000,"Arden Hills, Minnesota, US"
1036,Merkle,Business Consulting and Services,1000+,"Columbia, MD, US"
1037,Texas Health Resources,Hospitals and Health Care,1000+,"Arlington, Texas, US"
1038,The Children's Place,Retail,501-1000,"Secaucus, NJ, US"
1039,IDEXX,Biotechnology Research,1000+,"Westbrook, Maine, US"
1040,Sword Group,IT Services and IT Consulting,501-1000,"Windhof, 0, LU"
1041,Entrust,Software Development,501-1000,"Minneapolis, MN, US"
1042,Exelixis,Biotechnology Research,501-1000,"Alameda, California, US"
1043,GHX,Hospitals and Health Care,501-1000,"Louisville, CO, US"
1044,The Lubrizol Corporation,Chemical Manufacturing,501-1000,"Wickliffe, Ohio, US"
1045,Milliman,Business Consulting and Services,501-1000,"Seattle, WA, US"
1046,State of Missouri,Government Administration,1000+,"Jefferson City, Missouri, US"
1047,DAT Freight & Analytics,Truck Transportation,201-500,"Beaverton, OR, US"
1048,Mount Sinai Health System,Hospitals and Health Care,1000+,"New York, NY, US"
1049,Life Time Inc.,Wellness and Fitness Services,1000+,"Chanhassen, MN, US"
1050,Culver Careers (CulverCareers.com),Staffing and Recruiting,11-50,"Del Mar, California, US"
